,tweet_id,name,stadge_of_dog,rating_numerator,rating_denominator,rate
0,890240255349198849,Cassie,doggo,14.0,10.0,14.0
1,884162670584377345,Yogi,doggo,12.0,10.0,12.0
2,872967104147763200,None,doggo,12.0,10.0,12.0
3,871515927908634625,Napolean,doggo,12.0,10.0,12.0
4,871102520638267392,None,doggo,14.0,10.0,14.0
5,869596645499047938,Scout,doggo,12.0,10.0,12.0
6,858843525470990336,None,doggo,13.0,10.0,13.0
7,855851453814013952,None,doggo,13.0,10.0,13.0
8,854010172552949760,None,doggo,11.0,10.0,11.0
9,851953902622658560,Astrid,doggo,13.0,10.0,13.0
10,846514051647705089,Barney,doggo,13.0,10.0,13.0
11,845397057150107648,Mimosa,doggo,13.0,10.0,13.0
12,836753516572119041,Meera,doggo,12.0,10.0,12.0
13,834574053763584002,None,doggo,13.0,10.0,13.0
14,834089966724603904,None,doggo,10.0,10.0,10.0
15,832998151111966721,Rhino,doggo,13.0,10.0,13.0
16,832273440279240704,Smiley,doggo,14.0,10.0,14.0
17,832032802820481025,Miguel,doggo,12.0,10.0,12.0
18,831939777352105988,Emanuel,doggo,12.0,10.0,12.0
19,831322785565769729,Pete,doggo,12.0,10.0,12.0
20,829878982036299777,Loki,doggo,12.0,10.0,12.0
21,829449946868879360,None,doggo,11.0,10.0,11.0
22,829374341691346946,Astrid,doggo,13.0,10.0,13.0
23,828381636999917570,Doobert,doggo,14.0,10.0,14.0
24,826958653328592898,Loki,doggo,12.0,10.0,12.0
25,826848821049180160,Cupid,doggo,13.0,10.0,13.0
26,826476773533745153,Pilot,doggo,12.0,10.0,12.0
27,826204788643753985,None,doggo,13.0,10.0,13.0
28,821765923262631936,Duchess,doggo,13.0,10.0,13.0
29,821421320206483457,Sampson,doggo,12.0,10.0,12.0
30,821407182352777218,Sundance,doggo,14.0,10.0,14.0
31,821107785811234820,None,doggo,11.0,10.0,11.0
32,819924195358416896,None,doggo,11.0,10.0,11.0
33,819015337530290176,Bo,doggo,14.0,10.0,14.0
34,819015331746349057,Sunny,doggo,14.0,10.0,14.0
35,819006400881917954,Sunny,doggo,14.0,10.0,14.0
36,819004803107983360,Bo,doggo,14.0,10.0,14.0
37,817777686764523521,Dido,doggo,13.0,10.0,13.0
38,813910438903693312,Chubbs,doggo,11.0,10.0,11.0
39,813202720496779264,None,doggo,11.0,10.0,11.0
40,813127251579564032,None,doggo,11.0,10.0,11.0
41,813096984823349248,Rocky,doggo,11.0,10.0,11.0
42,808106460588765185,None,doggo,12.0,10.0,12.0
43,802265048156610565,None,doggo,11.0,10.0,11.0
44,801127390143516673,Anakin,doggo,11.0,10.0,11.0
45,801115127852503040,Bones,doggo,12.0,10.0,12.0
46,800018252395122689,None,doggo,11.0,10.0,11.0
47,799757965289017345,Sobe,doggo,13.0,10.0,13.0
48,796484825502875648,None,doggo,12.0,10.0,12.0
49,795464331001561088,None,doggo,13.0,10.0,13.0
50,786363235746385920,Rizzo,doggo,13.0,10.0,13.0
51,785639753186217984,Pinot,doggo,10.0,10.0,10.0
52,782747134529531904,Deacon,doggo,11.0,10.0,11.0
53,782305867769217024,Sampson,doggo,12.0,10.0,12.0
54,781655249211752448,Combo,doggo,11.0,10.0,11.0
55,781308096455073793,None,doggo,12.0,10.0,12.0
56,780074436359819264,None,doggo,10.0,10.0,10.0
57,777953400541634568,Gerald,doggo,8.0,10.0,8.0
58,775898661951791106,None,doggo,12.0,10.0,12.0
59,775733305207554048,Anakin,doggo,11.0,10.0,11.0
60,775364825476165632,Finley,doggo,11.0,10.0,11.0
61,771908950375665664,None,doggo,13.0,10.0,13.0
62,770743923962707968,None,doggo,13.0,10.0,13.0
63,770093767776997377,just,doggo,12.0,10.0,12.0
64,768193404517830656,Gerald,doggo,8.0,10.0,8.0
65,767191397493538821,None,doggo,13.0,10.0,13.0
66,760893934457552897,Wishes,doggo,11.0,10.0,11.0
67,760521673607086080,None,doggo,12.0,10.0,12.0
68,759793422261743616,Maggie,doggo,12.0,10.0,12.0
69,758828659922702336,None,doggo,13.0,10.0,13.0
70,757393109802180609,None,doggo,10.0,10.0,10.0
71,756526248105566208,None,doggo,13.0,10.0,13.0
72,755206590534418437,one,doggo,14.0,10.0,14.0
73,752682090207055872,None,doggo,10.0,10.0,10.0
74,752660715232722944,None,doggo,10.0,10.0,10.0
75,752334515931054080,None,doggo,8.0,10.0,8.0
76,751583847268179968,None,doggo,5.0,10.0,5.0
77,750011400160841729,Piper,doggo,11.0,10.0,11.0
78,749075273010798592,Boomer,doggo,11.0,10.0,11.0
79,748932637671223296,Divine,doggo,13.0,10.0,13.0
80,748692773788876800,his,doggo,10.0,10.0,10.0
81,745433870967832576,Lenox,doggo,10.0,10.0,10.0
82,744234799360020481,None,doggo,13.0,10.0,13.0
83,742534281772302336,None,doggo,11.0,10.0,11.0
84,741067306818797568,just,doggo,12.0,10.0,12.0
85,739623569819336705,None,doggo,12.0,10.0,12.0
86,739238157791694849,None,doggo,13.0,10.0,13.0
87,735256018284875776,Kellogg,doggo,8.0,10.0,8.0
88,733109485275860992,None,doggo,12.0,10.0,12.0
89,732375214819057664,Kyle,doggo,11.0,10.0,11.0
90,727644517743104000,None,doggo,13.0,10.0,13.0
91,724771698126512129,None,doggo,11.0,10.0,11.0
92,719991154352222208,None,doggo,10.0,10.0,10.0
93,716080869887381504,None,doggo,11.0,10.0,11.0
94,883360690899218434,Grizzwald,floofer,13.0,10.0,13.0
95,854010172552949760,None,floofer,11.0,10.0,11.0
96,800388270626521089,Doc,floofer,12.0,10.0,12.0
97,776218204058357768,None,floofer,13.0,10.0,13.0
98,749317047558017024,Blu,floofer,12.0,10.0,12.0
99,746542875601690625,None,floofer,11.0,10.0,11.0
100,737445876994609152,None,floofer,13.0,10.0,13.0
101,733822306246479872,Moose,floofer,10.0,10.0,10.0
102,689993469801164801,None,floofer,12.0,10.0,12.0
103,685307451701334016,Petrick,floofer,11.0,10.0,11.0
104,886366144734445568,Roscoe,pupper,12.0,10.0,12.0
105,882762694511734784,Gus,pupper,12.0,10.0,12.0
106,881536004380872706,None,pupper,14.0,10.0,14.0
107,877611172832227328,None,pupper,14.0,10.0,14.0
108,876838120628539392,Ginger,pupper,12.0,10.0,12.0
109,874296783580663808,Jed,pupper,13.0,10.0,13.0
110,873337748698140672,Sierra,pupper,12.0,10.0,12.0
111,873213775632977920,Sierra,pupper,12.0,10.0,12.0
112,871762521631449091,Rover,pupper,12.0,10.0,12.0
113,866816280283807744,Jamesy,pupper,13.0,10.0,13.0
114,866450705531457537,Jamesy,pupper,13.0,10.0,13.0
115,866094527597207552,None,pupper,12.0,10.0,12.0
116,854120357044912130,None,pupper,14.0,10.0,14.0
117,850019790995546112,Boomer,pupper,12.0,10.0,12.0
118,849668094696017920,Gidget,pupper,12.0,10.0,12.0
119,845306882940190720,Pickles,pupper,12.0,10.0,12.0
120,839290600511926273,None,pupper,10.0,10.0,10.0
121,837820167694528512,None,pupper,12.0,10.0,12.0
122,837110210464448512,Clark,pupper,13.0,10.0,13.0
123,836380477523124226,Ava,pupper,12.0,10.0,12.0
124,833124694597443584,Gidget,pupper,12.0,10.0,12.0
125,831315979191906304,None,pupper,13.0,10.0,13.0
126,827933404142436356,Kona,pupper,12.0,10.0,12.0
127,824325613288833024,None,pupper,13.0,10.0,13.0
128,822462944365645825,Gabe,pupper,14.0,10.0,14.0
129,819238181065359361,None,pupper,10.0,10.0,10.0
130,818588835076603904,Chelsea,pupper,11.0,10.0,11.0
131,817777686764523521,Dido,pupper,13.0,10.0,13.0
132,817502432452313088,Herschel,pupper,7.0,10.0,7.0
133,817181837579653120,None,pupper,13.0,10.0,13.0
134,815966073409433600,None,pupper,13.0,10.0,13.0
135,814986499976527872,Cooper,pupper,11.0,10.0,11.0
136,811386762094317568,Craig,pupper,11.0,10.0,11.0
